App884,org.videolan.vlc,Works great for my s9+. Does seem to hang after exiting sometimes. Does have high battery usage _  or at least that's what my phone tells me. While it's not as user friendly as the pc version _  it works a lot better than other media players.,5,06/01/2020,2
App884,org.videolan.vlc,A few last version of the app is super slow at detecting new song. The old version (version 3.0.6) in 2018 and it's previous version is better. For you guys who still have the old version and you guys don't have any issues _  I suggest you guys to keep that version installed in your phone. Do not update!,5,05/19/2020,236
App884,org.videolan.vlc,Would have been 5 stars but... The network feature fails whenever my ISP cuts my subscription. Now keep in mind that the files I am accessing are on the local WiFi network. They stay online as long as the machine I'm streaming from is on. VLC however is unable to stream them if I have no active internet subscription. How come?,4,05/24/2020,62
App884,org.videolan.vlc,Fantastic. Computer became buggy and started randomly disabling bluetooth _  so this app gave me the power to transfer my music playlist to something that works. Equalizer is awesome _  no hitches when playing audio. One thing I'd question is if there's a limit to audio length as some of my larger files took a couple downloads to work.,5,05/27/2020,23
App884,org.videolan.vlc,Trying to stream a f**king video URL _  apparently it is refusing to do anything and the fact that the local network isn't detecting my wifi network is part of the problem. Uninstalled and reinstalled _  cleared cache and data _  still the same results _  what the hell does it take to get anything to work _  never had this issue _  and the fact that my phone is connected to wifi but can't stream is also B.S,1,05/26/2020,212
App884,org.videolan.vlc,Guys everything was 5 stars but over the last 3 days whenever youre watching something in VLC and then you change tabs to something else and when you change back _  it doesn't work. The app simply crashes and says VLC isn't available or this app isn't available and the problem persists after reinstalling as well. I use S10+ and update my apps on a 12 hour basis. Please check. I use this app for everything related to video watching.,2,06/01/2020,93
App884,org.videolan.vlc,This app is pretty good. Plays a lot of file formats and does what it is intended perfectly. I can also group music/ video and make playlists. But there is really 1 feature that I feel is really missing. "Sort by date" in the video section. I am serious _  I cannot search through all of my videos for a specific file name all the time. You can sort by date in audio _  but not video. Other than that _  app is great.,4,03/23/2020,1206
App884,org.videolan.vlc,Very glitchy when playing video files off of my external drive through an Acer Chromebook. Freezes often and for long periods _  sometimes audio starts back up after a while but pic still frozen. Sometimes it will resume if I minimize to taskbar then bring it back up and it plays from where the glitch began. On my other laptop _  VLC for Windows plays the same files from the same external drive so it's definitely a Google issue.,2,05/21/2020,90
App884,org.videolan.vlc,Thank you. The app is wonderful. However _  2 updates ago _  i was able to infinitely loop a Playlist of webm music even when the phone screen is off. Now _  when the screen is off _  it wud only play one song then exits. It's so frustrating. However _  if I loop one track _  while the screen is off _  I have no problem. You're doing a wonderful job. I hope _  you can address my concern. Thank you,3,03/31/2020,1036
App884,org.videolan.vlc,4 months now I can't pause my show while casting to Chromecast without this app crashing _  I have to force stop it and clear the cache in order for it to even act right just to watch one show. I'm using Android Oreo if this helps you guys.and it still would be nice to use VLC from the computer to Chromecast _  no matter which message board I try to find they all say it works for them and 50% other people say it doesn't.,1,05/30/2020,14
App884,org.videolan.vlc,I've only used it for audio _  but the program shuts down as soon as it is paused for too long _  or when another app is opened. And the file (if opened via an external program) is not stored in the VLC play history _  yet if I reopen it externally in VLC _  half the time it starts from where it cut off. only positives are that it's nice to be able to jump to a certain time stamp _  set up a sleep timer _  and adjust the playback speed _  but the rest is bad enough that I will be uninstalling this app.,1,04/25/2020,309
App884,org.videolan.vlc,Persistent "loading" notification on my OnePlus 6t for the past month or so. Happens without opening the app. Have to force to temporarily get rid of it each time. Still my go to for casting from my phone to tv but has bugs. If I pause a video there's a chance it won't start properly. Same with rewinding and fast forwarding.,3,05/11/2020,93
App884,org.videolan.vlc,This app has been working great so far _  especially when I have my bluetooth speakers connected to my phone. But now since I updated this app _  when I'm watching my movies with my bluetooth speakers it wants to cut the audio out for a few seconds and then comes back on. And it does it about every minute through the movie. Talk about a mood killer! Please fix this problem _  cause it really sucks having to watch a movie without my bluetooth speakers.,4,04/20/2020,755
App884,org.videolan.vlc,Best free video/music player out there. I have an issue with the music Genre tab. Some albums fall across multiple genre's and usually players like Windows Media Player and Kodi will allow you to set a delim usually ';' or '/'. Kodi lets you set it I know media player reads ';". However _  THIS player does not read the delimiters and just shows all Genre's on one line making this tab useless for me. ...I have OCD and have my music catagorized. :-) Please add support for DSD (.dff _  .dsf),4,05/15/2020,175
App884,org.videolan.vlc,Great!!! I'm just found something interesting from this App. For you guys who love to listen to songs as background music when you're playing games or studying on your phone but unfortunately the song's volume is too loud..you can edit the equalizer on this App and "The too loud song's volume" won't bother you anymore..The equalizer effect is only giving effect to the songs that played on This App. I just found this "hack" a couple minutes ago. THANKS DEVELOPER. THANKS VLC. You're all the BEST.,5,04/17/2020,170
App884,org.videolan.vlc,I have some Russian and Japanese songs in my tracklist. Whenever I scroll down and get to those songs below all the English songs I have _  the app refreshes the list within a second or two and there are no more songs in the library according to it. Refreshing it has no effect. I have to wipe it out from the memory and reopen the app to see all the songs again. And once again if I scroll down there the story repeats. Please find a fix for this. This never happened before getting songs in Russian.,2,04/29/2020,128
App884,org.videolan.vlc,I dunno what an app u have created  _  one after the another bug keeps appearing successfully irritating the user . Screen freezes suddenly . Subtitle experience is horrible to the core . Could download one subtitle  _  I tap on download option and it circles and nothing happens . Should I do the circus of downloading them externally and sync it . Tell me y shouldn't I jus switch to mx which is near to bug free ?. Hope u correct and revamp this app . I like vlc that's the reason I keep trying using,1,05/21/2020,54
App884,org.videolan.vlc,Newest update is very disappointing. No longer able to delete files unless there are multiple files with the same first 6 characters. The fast forward function is different _  I end up hiding and unhiding the UI half a dozen times before finding the new spot where it will actually fast forward.,4,05/29/2020,17
App884,org.videolan.vlc,Disappointed & Frustrating. The brightness seems to be interacting with the video's lighting (I think). If the video's lighting is dark (shot at night) the app's brightness tends to also get dark and sometimes the app's brightness bounces from 100% to nothing at all to the point where I can't see anything. I updated it to the latest version but alas _  nothing has changed. I've been using VLC for many years now and this is the first time I encountered such thing. Fix this _  ASAP. 😤,1,03/24/2020,349
App884,org.videolan.vlc,I have this app solely to cast video and it doesn't really do that well at all. Volume control doesn't work (meaning I have to use my tv remote instead of phone to change volume). Organisation of videos is clunky. Subtitles do not work. I download them through the app and separently (through a subtitle website) and tried to add them. Still doesn't work. Also then doesn't cast the subtitles.,1,04/17/2020,59
App884,org.videolan.vlc,This app having anything other than 4 and 5 start reviews is nonsense. Open source _  plays just about anything on any gear you own. Occasionally has issues _  if you report them (properly _  as opposed to whinging in a review with a loose it doesn't work) they get fixed,5,05/30/2020,2
App884,org.videolan.vlc,I think that it would be great if you could put some more features in. I think it would be nice to have a more convenient option for the alphabetical scroll _  one that is instantly available without having to fumble around with the tiny scrollbar. Would be nice if it was still on the right hand side of the list view _  but somehow big enough for an actual thumb. Also would be nice if there was an option to lock the header bar while scrolling through the list. Still the best media player tho _  XoX,4,04/17/2020,104
App884,org.videolan.vlc,When VLC was the only media player that worked I had a great love in my heart for it. However in its current incarnation it is a gigantic buggy mess that largely doesn't work with any of my other tech. Casting is buggy and constantly freezes. And my number one complaint is that the app is continually opening in the background and playing music when I don't ask it to. This app is a mess and it only gets 3 stars until they fix.,3,03/20/2020,857
App884,org.videolan.vlc,This app is as good as it's desktop counterpart. It supports hundreds of file formats and will play anything you their at it. For example _  I couldn't play .wma files on Google play music _  but VLC solved ask these problems. However there's one bug: flac files sometimes appear to have no length. This doesn't affect playback _  but it means you can't skip ahead.,5,04/22/2020,812
App884,org.videolan.vlc,Great _  simple music app. I don't like other apps because they all try to get you to stream _  this one doesn't push stuff you don't want. I just wish that playlists were more quickly accessable when browsing your music collection: you have to leave audio and select playlists to see them _  would be better if they were available via the menu at the top of the audio screen were genera _  artist _  album _  etc. are located.,4,04/25/2020,416
